,STATENAME,ST_CASE,VEH_NO,VE_FORMS,NUMOCCS,MAN_COLLNAME,HIT_RUN,TOW_VEH,GVWRNAME,V_CONFIGNAME,CARGO_BTNAME,HAZ_INV,ROLLOVERNAME,DEFORMEDNAME,VTRAFWAYNAME,VNUM_LANNAME,VSPD_LIMNAME,VALIGNNAME,VPROFILENAME,VSURCONDNAME,ROUTENAME,RUR_URBNAME,FUNC_SYSNAME,LGT_CONDNAME,WEATHERNAME,FATALS,DRUNK_DR,INJ_SEV,INJ_SEVNAME
7834,California,61307,1,1,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Flatbed,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,55 MPH,Curve - Right,Level,Dry,State Highway,Urban,Principal Arterial - Other Freeways and Expressways,Dark - Not Lighted,Clear,1,0,4,Fatal Injury (K)
7985,California,61370,1,1,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,0,"26,001 lbs. or more","Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",Flatbed,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Four lanes,65 MPH,Straight,Level,Dry,Interstate,Urban,Interstate,Dark - Not Lighted,Clear,1,0,4,Fatal Injury (K)
8150,California,61439,3,3,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Intermodal Container Chassis,1,No Rollover,Functional Damage,"Two-Way,  Divided, Positive  Median Barrier",Six lanes,65 MPH,Straight,Level,Dry,State Highway,Urban,Principal Arterial - Other Freeways and Expressways,Daylight,Clear,1,0,0,No Apparent Injury (O)
8249,California,61483,2,2,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way, Divided, Unprotected Median",Two lanes,70 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Daylight,Clear,1,0,0,No Apparent Injury (O)
8322,California,61516,1,1,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,No Damage,Entrance/Exit Ramp,Two lanes,65 MPH,Straight,Downhill,Dry,State Highway,Urban,Principal Arterial - Other Freeways and Expressways,Daylight,Clear,1,0,0,No Apparent Injury (O)
8389,California,61546,1,4,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Divided, Unprotected Median",Two lanes,55 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
8390,California,61546,2,4,1,Front-to-Rear,0,0,"26,001 lbs. or more","Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",Van/Enclosed Box,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way, Divided, Unprotected Median",Two lanes,55 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Clear,1,0,4,Fatal Injury (K)
8391,California,61546,3,4,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way, Divided, Unprotected Median",Two lanes,55 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
8392,California,61546,4,4,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way, Divided, Unprotected Median",Two lanes,55 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
8426,California,61561,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Level,Dry,Local Street - Municipality,Urban,Principal Arterial - Other,Daylight,Clear,4,0,0,No Apparent Injury (O)
8487,California,61593,2,2,3,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Other,1,No Rollover,Functional Damage,"Two-Way,  Divided, Positive  Median Barrier",Five lanes,70 MPH,Straight,Uphill,Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Clear,1,1,0,No Apparent Injury (O)
8488,California,61593,2,2,3,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Other,1,No Rollover,Functional Damage,"Two-Way,  Divided, Positive  Median Barrier",Five lanes,70 MPH,Straight,Uphill,Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Clear,1,1,1,Possible Injury (C)
8489,California,61593,2,2,3,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Other,1,No Rollover,Functional Damage,"Two-Way,  Divided, Positive  Median Barrier",Five lanes,70 MPH,Straight,Uphill,Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Clear,1,1,0,No Apparent Injury (O)
8578,California,61638,2,3,1,Sideswipe - Same Direction,0,1,"26,001 lbs. or more",Truck Pulling Trailer(s),Dump,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Five lanes,65 MPH,Straight,Level,Dry,Interstate,Urban,Interstate,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
8610,California,61659,2,2,1,Angle,0,2,"26,001 lbs. or more",Truck Tractor/Double,Dump,1,No Rollover,Minor Damage,"Two-Way, Not Divided",Two lanes,40 MPH,Straight,Uphill,Dry,State Highway,Rural,Principal Arterial - Other Freeways and Expressways,Daylight,Clear,1,0,0,No Apparent Injury (O)
8659,California,61680,1,1,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Intermodal Container Chassis,1,No Rollover,No Damage,Entrance/Exit Ramp,Two lanes,55 MPH,Straight,Downhill,Dry,Interstate,Urban,Interstate,Daylight,Clear,1,0,0,No Apparent Injury (O)
8689,California,61690,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,65 MPH,Straight,Level,Dry,Interstate,Urban,Interstate,Dark - Lighted,Clear,1,2,4,Fatal Injury (K)
8739,California,61715,3,3,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Other,1,No Rollover,Functional Damage,"Two-Way,  Divided, Positive  Median Barrier",Seven or more lanes,65 MPH,Straight,Level,Dry,Interstate,Urban,Interstate,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
8803,California,61749,2,2,1,Angle,0,0,"26,001 lbs. or more",Truck Tractor (Bobtail),No Cargo Body Type,1,No Rollover,Functional Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Curve - Right,Downhill,Dry,State Highway,Rural,Principal Arterial - Other,Daylight,Cloudy,1,0,0,No Apparent Injury (O)
8856,California,61769,2,2,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way, Not Divided",Five lanes,45 MPH,Straight,Level,Dry,County Road,Rural,Principal Arterial - Other,Dark - Lighted,Clear,1,1,0,No Apparent Injury (O)
8897,California,61789,2,2,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,2,"26,001 lbs. or more",Truck Tractor/Double,Dump,1,No Rollover,Minor Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Curve - Right,Level,Dry,State Highway,Rural,Minor Arterial,Daylight,Clear,1,1,0,No Apparent Injury (O)
8903,California,61791,1,1,2,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,Entrance/Exit Ramp,One lane,55 MPH,Curve - Right,Level,Dry,Interstate,Urban,Interstate,Dark - Lighted,Clear,1,0,4,Fatal Injury (K)
8904,California,61791,1,1,2,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,Entrance/Exit Ramp,One lane,55 MPH,Curve - Right,Level,Dry,Interstate,Urban,Interstate,Dark - Lighted,Clear,1,0,3,Suspected Serious Injury (A)
8952,California,61811,1,2,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way,  Divided, Positive  Median Barrier",Four lanes,65 MPH,Curve - Right,Uphill,Dry,Interstate,Urban,Interstate,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
9028,California,61849,1,1,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,0,"26,001 lbs. or more","Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",Van/Enclosed Box,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Curve - Left,Downhill,Dry,Other,Rural,Major Collector,Daylight,Clear,1,1,4,Fatal Injury (K)
9034,California,61851,2,3,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Two lanes,55 MPH,Straight,Downhill,Dry,State Highway,Urban,Principal Arterial - Other,Daylight,Clear,2,0,0,No Apparent Injury (O)
9042,California,61854,1,1,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,No Damage,"Two-Way, Not Divided",Four lanes,35 MPH,Straight,Level,Dry,Local Street - Municipality,Urban,Principal Arterial - Other,Daylight,Clear,1,0,0,No Apparent Injury (O)
9154,California,61894,1,1,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,No Damage,"Two-Way, Not Divided",Four lanes,35 MPH,Straight,Level,Dry,Local Street - Municipality,Urban,Principal Arterial - Other,Daylight,Clear,1,0,0,No Apparent Injury (O)
9235,California,61946,1,4,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Auto Transporter,1,No Rollover,Functional Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Level,Dry,State Highway,Rural,Principal Arterial - Other,Dark - Not Lighted,Clear,1,0,1,Possible Injury (C)
9378,California,62007,2,2,1,Angle,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Garbage/Refuse,1,No Rollover,No Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Level,Dry,Local Street - Municipality,Rural,Minor Collector,Daylight,Clear,1,0,0,No Apparent Injury (O)
9402,California,62022,2,3,1,Sideswipe - Same Direction,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Other,1,No Rollover,Minor Damage,"Two-Way, Divided, Unprotected Median",Two lanes,70 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
9403,California,62022,3,3,1,Sideswipe - Same Direction,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Other,1,No Rollover,Disabling Damage,"Two-Way, Divided, Unprotected Median",Two lanes,70 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
9440,California,62043,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way, Not Divided With a Continuous Left-Turn Lane",Four lanes,45 MPH,Straight,Level,Dry,State Highway,Urban,Principal Arterial - Other,Daylight,Clear,1,1,1,Possible Injury (C)
9523,California,62086,1,1,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Six lanes,55 MPH,Straight,Level,Dry,Interstate,Urban,Interstate,Dark - Not Lighted,Clear,1,0,4,Fatal Injury (K)
9628,California,62140,1,7,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,55 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Daylight,Clear,2,0,1,Possible Injury (C)
9632,California,62140,5,7,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,55 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Daylight,Clear,2,0,0,No Apparent Injury (O)
9633,California,62140,6,7,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,55 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Daylight,Clear,2,0,0,No Apparent Injury (O)
9634,California,62140,7,7,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,55 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Daylight,Clear,2,0,0,No Apparent Injury (O)
9805,California,62211,2,2,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Other,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Four lanes,65 MPH,Straight,Level,Dry,State Highway,Urban,Principal Arterial - Other Freeways and Expressways,Dark - Lighted,Clear,1,0,4,Fatal Injury (K)
9809,California,62213,1,2,1,Angle,0,2,"26,001 lbs. or more",Truck Tractor/Double,Dump,1,No Rollover,Minor Damage,"Two-Way, Divided, Unprotected Median",Four lanes,45 MPH,Straight,Level,Dry,State Highway,Urban,Principal Arterial - Other Freeways and Expressways,Daylight,Clear,1,0,0,No Apparent Injury (O)
10041,California,62318,2,2,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way, Not Divided With a Continuous Left-Turn Lane",Five lanes,40 MPH,Straight,Level,Dry,Local Street - Municipality,Urban,Principal Arterial - Other,Dark - Not Lighted,Clear,3,0,0,No Apparent Injury (O)
10059,California,62324,2,3,1,Front-to-Front,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Cargo Tank,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,50 MPH,Straight,Level,Dry,Local Street - Municipality,Urban,Minor Collector,Dark - Not Lighted,Clear,1,1,1,Possible Injury (C)
10082,California,62342,1,1,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,No Damage,"Two-Way, Not Divided",Five lanes,40 MPH,Straight,Level,Dry,Local Street - Municipality,Urban,Minor Collector,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
10284,California,62433,2,2,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Pulling Trailer(s),Cargo Tank,2,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Curve - Unknown Direction,Level,Dry,State Highway,Rural,Minor Arterial,Dark - Not Lighted,Clear,1,0,1,Possible Injury (C)
10358,California,62468,2,2,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Other,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Three lanes,55 MPH,Curve - Right,Level,Dry,State Highway,Rural,Principal Arterial - Other,Dark - Not Lighted,Clear,1,1,1,Possible Injury (C)
10360,California,62470,1,3,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,55 MPH,Straight,Level,Dry,Interstate,Urban,Interstate,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
10362,California,62470,3,3,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Dump,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,55 MPH,Straight,Level,Dry,Interstate,Urban,Interstate,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
10412,California,62490,2,2,1,Front-to-Rear,0,0,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Dump,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Seven or more lanes,65 MPH,Straight,Level,Dry,Interstate,Urban,Interstate,Dark - Lighted,Clear,1,1,0,No Apparent Injury (O)
10417,California,62495,2,2,1,Sideswipe - Same Direction,0,2,"26,001 lbs. or more",Truck Tractor/Double,Flatbed,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Level,Dry,State Highway,Rural,Minor Arterial,Daylight,Clear,1,0,4,Fatal Injury (K)
10474,California,62524,1,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way, Not Divided",Two lanes,65 MPH,Straight,Level,Dry,U.S. Highway,Rural,Principal Arterial - Other,Dark - Not Lighted,Clear,2,0,0,No Apparent Injury (O)
10484,California,62530,2,2,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way, Not Divided",Four lanes,50 MPH,Curve - Left,Level,Dry,Local Street - Municipality,Rural,Local,Daylight,Clear,1,0,1,Possible Injury (C)
10560,California,62570,2,3,1,Angle,0,2,"26,001 lbs. or more",Truck Tractor/Double,Grain/ Chips/ Gravel,1,No Rollover,Functional Damage,"Two-Way,  Divided, Positive  Median Barrier",Five lanes,65 MPH,Straight,Level,Wet,Interstate,Urban,Interstate,Daylight,Rain,1,0,0,No Apparent Injury (O)
10564,California,62571,2,3,1,Front-to-Front,0,0,"26,001 lbs. or more",Truck Tractor (Bobtail),No Cargo Body Type,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,50 MPH,Curve - Right,Uphill,Dry,County Road,Rural,Major Collector,Daylight,Clear,1,0,1,Possible Injury (C)
10565,California,62571,3,3,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way, Not Divided",Two lanes,50 MPH,Curve - Left,Downhill,Dry,County Road,Rural,Major Collector,Daylight,Clear,1,0,0,No Apparent Injury (O)
10625,California,62598,2,2,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,70 MPH,Straight,Level,Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Clear,1,1,0,No Apparent Injury (O)
10723,California,62642,2,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,70 MPH,Straight,Level,Dry,State Highway,Rural,Principal Arterial - Other,Dark - Not Lighted,Clear,1,0,2,Suspected Minor Injury (B)
10754,California,62661,2,2,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Not Divided With a Continuous Left-Turn Lane",Five lanes,45 MPH,Straight,Level,Dry,Local Street - Municipality,Urban,Minor Collector,Dark - Not Lighted,Clear,1,0,0,No Apparent Injury (O)
10839,California,62698,3,3,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,65 MPH,Straight,Uphill,Wet,State Highway,Urban,Principal Arterial - Other Freeways and Expressways,Dark - Not Lighted,Rain,1,0,0,No Apparent Injury (O)
10893,California,62718,2,2,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Level,Dry,State Highway,Rural,Principal Arterial - Other,Daylight,Cloudy,3,0,0,No Apparent Injury (O)
10929,California,62732,3,3,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Dump,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Five lanes,65 MPH,Straight,Level,Dry,Interstate,Urban,Interstate,Daylight,Clear,1,0,0,No Apparent Injury (O)
11037,California,62778,2,3,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,65 MPH,Straight,Uphill,Dry,Interstate,Rural,Interstate,Dark - Not Lighted,Clear,1,1,0,No Apparent Injury (O)
11243,California,62866,2,3,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Level,Dry,Local Street - Municipality,Urban,Minor Collector,Daylight,Clear,1,0,0,No Apparent Injury (O)
11245,California,62867,1,1,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way, Not Divided",Two lanes,45 MPH,Straight,"Grade, Unknown Slope",Dry,Local Street - Municipality,Urban,Minor Collector,Dark - Lighted,Clear,1,0,0,No Apparent Injury (O)
11309,California,62896,2,2,2,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Other,1,No Rollover,Minor Damage,"Two-Way, Divided, Unprotected Median",Two lanes,65 MPH,Straight,Level,Dry,Interstate,Urban,Interstate,Dark - Lighted,Clear,2,0,0,No Apparent Injury (O)
11310,California,62896,2,2,2,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Other,1,No Rollover,Minor Damage,"Two-Way, Divided, Unprotected Median",Two lanes,65 MPH,Straight,Level,Dry,Interstate,Urban,Interstate,Dark - Lighted,Clear,2,0,0,No Apparent Injury (O)
11413,California,62948,1,3,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way, Divided, Unprotected Median",Two lanes,55 MPH,Straight,Level,Dry,State Highway,Urban,Principal Arterial - Other Freeways and Expressways,Daylight,Clear,1,0,1,Possible Injury (C)
11422,California,62950,2,2,1,Front-to-Front,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Two lanes,55 MPH,Straight,Level,Wet,State Highway,Rural,Principal Arterial - Other,Daylight,Snow,1,0,0,No Apparent Injury (O)
11465,California,62965,2,2,1,Sideswipe - Same Direction,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Seven or more lanes,65 MPH,Straight,Level,Dry,Interstate,Urban,Interstate,Dark - Lighted,Clear,1,1,3,Suspected Serious Injury (A)
11489,California,62975,1,1,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way,  Divided, Positive  Median Barrier",Three lanes,55 MPH,Straight,Level,Dry,U.S. Highway,Urban,Principal Arterial - Other Freeways and Expressways,Dark - Lighted,Clear,1,0,0,No Apparent Injury (O)
11511,California,62990,1,4,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Intermodal Container Chassis,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Five lanes,65 MPH,Straight,Level,Dry,Interstate,Urban,Interstate,Daylight,Clear,1,0,0,No Apparent Injury (O)
11516,California,62991,1,2,1,Angle,0,1,"26,001 lbs. or more","Truck More Than 10,000 lbs, Cannot Classify",Garbage/Refuse,1,"Rollover, Tripped by Object/Vehicle",Disabling Damage,Non-Trafficway or Driveway Access,Non-Trafficway or Driveway Access,No Statutory Limit/Non-Trafficway or Driveway Access,Non-Trafficway or Driveway Access,Non-Trafficway or Driveway Access,Non-Trafficway or Driveway Access,State Highway,Rural,Principal Arterial - Other,Daylight,"Fog, Smog, Smoke",1,0,2,Suspected Minor Injury (B)
11523,California,62995,1,1,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,0,"26,001 lbs. or more","Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",Dump,1,No Rollover,Disabling Damage,"Two-Way, Not Divided With a Continuous Left-Turn Lane",Three lanes,35 MPH,Curve - Left,Level,Wet,Local Street - Municipality,Urban,Minor Collector,Daylight,Cloudy,1,0,4,Fatal Injury (K)
11562,California,63009,1,3,1,Front-to-Rear,0,1,"26,001 lbs. or more","Truck More Than 10,000 lbs, Cannot Classify",Van/Enclosed Box,1,No Rollover,Minor Damage,"Two-Way,  Divided, Positive  Median Barrier",Five lanes,65 MPH,Straight,Level,Dry,Interstate,Urban,Interstate,Daylight,Clear,1,0,0,No Apparent Injury (O)
11601,California,63025,1,2,1,Angle,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Disabling Damage,"Two-Way, Not Divided",Three lanes,55 MPH,Straight,Level,Dry,Local Street - Municipality,Rural,Minor Collector,Daylight,Clear,1,0,0,No Apparent Injury (O)
11940,California,63185,1,4,1,Front-to-Rear,0,0,"26,001 lbs. or more",Truck Tractor (Bobtail),No Cargo Body Type,1,No Rollover,Functional Damage,"Two-Way, Divided, Unprotected Median",Two lanes,55 MPH,Straight,Level,Dry,State Highway,Urban,Principal Arterial - Other,Daylight,Clear,2,0,0,No Apparent Injury (O)
11947,California,63185,4,4,1,Front-to-Rear,0,1,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,1,No Rollover,Functional Damage,"Two-Way, Divided, Unprotected Median",Two lanes,55 MPH,Straight,Level,Dry,State Highway,Urban,Principal Arterial - Other,Daylight,Clear,2,0,0,No Apparent Injury (O)
